HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459462.67546,2021-09-05.1702714,bi,1.46,16.897,15.229,0.047,2.943,0.127,g
2459462.67670,2021-09-05.1715121,bi,1.43,16.935,15.309,0.049,2.733,0.122,g
2459464.78129,2021-09-07.2761055,bq,1.47,17.120,15.250,0.039,2.886,0.103,g
2459464.78254,2021-09-07.2773582,bq,1.44,17.122,15.327,0.042,2.687,0.103,g
2459464.78377,2021-09-07.2785915,bq,1.43,17.169,15.258,0.037,2.863,0.099,g
2459464.89520,2021-09-07.3900181,bq,1.45,17.137,15.273,0.039,2.824,0.102,g
2459464.89642,2021-09-07.3912377,bq,1.46,17.083,15.268,0.041,2.837,0.107,g
2459464.89767,2021-09-07.3924879,bq,1.46,17.076,15.301,0.043,2.751,0.107,g
2459465.78250,2021-09-08.2773271,bq,1.45,17.109,15.279,0.040,2.808,0.104,g
2459465.78374,2021-09-08.2785783,bq,1.43,17.143,15.367,0.042,2.590,0.101,g
2459465.78497,2021-09-08.2798097,bq,1.43,17.109,15.293,0.041,2.771,0.104,g
2459466.68726,2021-09-09.1820925,bi,1.64,16.893,15.302,0.050,2.750,0.127,g
2459466.68852,2021-09-09.1833489,bi,1.67,16.886,15.229,0.047,2.941,0.128,g
2459467.83391,2021-09-10.3287466,bA,2.13,17.410,15.272,0.030,2.824,0.079,g
2459467.83517,2021-09-10.3300143,bA,2.13,17.471,15.257,0.028,2.866,0.075,g
2459467.83642,2021-09-10.3312618,bA,2.12,17.406,15.288,0.031,2.784,0.080,g
2459471.57490,2021-09-14.0697930,bi,1.49,16.493,15.263,0.070,2.852,0.184,g
2459471.57615,2021-09-14.0710464,bi,1.50,16.525,15.288,0.070,2.785,0.178,g
2459471.57739,2021-09-14.0722848,bi,1.54,16.491,15.280,0.072,2.808,0.184,g
2459475.29636,2021-09-17.7913188,bm,1.54,15.831,15.542,0.168,2.203,0.338,g
2459475.29760,2021-09-17.7925672,bm,1.56,15.713,15.201,0.137,3.016,0.377,g
2459475.29887,2021-09-17.7938221,bm,1.48,15.715,15.396,0.163,2.522,0.376,g
2459479.34777,2021-09-21.8428185,bm,1.50,15.626,15.202,0.148,3.017,0.408,g
2459479.34902,2021-09-21.8440628,bm,1.51,15.573,15.237,0.161,2.921,0.429,g
2459479.35027,2021-09-21.8453209,bm,1.52,15.595,15.472,0.196,2.352,0.420,g
2459480.85139,2021-09-23.3464798,bq,1.42,16.126,15.453,0.118,2.391,0.258,g
2459480.85262,2021-09-23.3477131,bq,1.47,16.129,15.029,0.080,3.533,0.257,g
2459480.85384,2021-09-23.3489380,bq,1.56,15.927,15.266,0.119,2.842,0.309,g
2459482.68615,2021-09-25.1813041,bi,1.67,16.269,15.172,0.080,3.100,0.226,g
2459482.68738,2021-09-25.1825321,bi,1.64,16.310,15.413,0.096,2.481,0.217,g
2459482.68863,2021-09-25.1837799,bi,1.75,16.164,15.254,0.095,2.874,0.249,g
2459483.26684,2021-09-25.7619990,bm,2.28,16.440,15.240,0.072,2.911,0.193,g
2459483.26811,2021-09-25.7632773,bm,2.29,16.537,15.262,0.068,2.851,0.176,g
2459483.26938,2021-09-25.7645400,bm,2.29,16.599,15.385,0.071,2.547,0.167,g
2459483.28369,2021-09-25.7788553,bm,2.24,16.538,15.337,0.072,2.661,0.176,g
2459483.28501,2021-09-25.7801732,bm,2.22,16.537,15.282,0.069,2.803,0.176,g
2459483.28631,2021-09-25.7814700,bm,2.21,16.599,15.253,0.063,2.875,0.167,g
2459485.72503,2021-09-28.2202703,bA,2.25,17.244,15.261,0.035,2.854,0.092,g
2459485.72628,2021-09-28.2215259,bA,2.25,17.318,15.288,0.034,2.784,0.086,g
2459485.72755,2021-09-28.2227900,bA,2.23,17.293,15.239,0.033,2.914,0.088,g
2459485.83690,2021-09-28.3321509,bA,2.00,17.445,15.295,0.030,2.766,0.077,g
2459485.83817,2021-09-28.3334206,bA,1.74,17.449,15.337,0.031,2.662,0.076,g
2459485.83945,2021-09-28.3346942,bA,1.75,17.495,15.321,0.029,2.700,0.073,g
2459486.83467,2021-09-29.3299585,bq,1.48,16.634,15.079,0.052,3.378,0.162,g
2459486.83592,2021-09-29.3312125,bq,1.48,16.777,15.482,0.066,2.328,0.142,g
2459486.83716,2021-09-29.3324554,bq,1.44,16.724,15.277,0.058,2.814,0.149,g
2459487.80067,2021-09-30.2959975,bq,1.44,16.037,15.657,0.155,1.981,0.281,g
2459487.80191,2021-09-30.2972371,bq,1.47,16.503,15.209,0.067,2.993,0.185,g
2459487.80316,2021-09-30.2984850,bq,1.47,16.786,15.278,0.055,2.813,0.143,g
2459487.83549,2021-09-30.3308225,bq,1.61,16.285,15.318,0.090,2.709,0.223,g
2459487.83672,2021-09-30.3320488,bq,1.60,15.890,15.312,0.129,2.725,0.321,g
2459487.83797,2021-09-30.3332978,bq,1.49,16.321,15.093,0.073,3.333,0.222,g
2459489.53775,2021-10-02.0331384,bE,1.46,16.921,15.227,0.046,2.946,0.124,g
2459489.53905,2021-10-02.0344391,bE,1.48,16.901,15.298,0.050,2.759,0.126,g
2459489.54035,2021-10-02.0357413,bE,1.46,17.015,15.247,0.043,2.894,0.114,g
2459490.28669,2021-10-02.7821162,bm,1.58,16.802,15.184,0.049,3.064,0.138,g
2459490.28792,2021-10-02.7833450,bm,1.97,16.814,15.256,0.052,2.868,0.137,g
2459490.28916,2021-10-02.7845868,bm,1.65,16.871,15.271,0.050,2.829,0.130,g
2459492.30693,2021-10-04.8024460,bm,1.59,16.841,15.306,0.053,2.739,0.134,g
2459492.30817,2021-10-04.8036846,bm,1.71,16.889,15.204,0.046,3.010,0.128,g
2459492.30941,2021-10-04.8049280,bm,1.70,16.829,15.254,0.051,2.872,0.135,g
2459494.36502,2021-10-06.8606322,bm,1.70,16.806,15.321,0.056,2.702,0.138,g
2459494.36626,2021-10-06.8618721,bm,1.66,16.866,15.289,0.051,2.782,0.130,g
2459494.36754,2021-10-06.8631468,bm,1.69,16.825,15.326,0.055,2.690,0.135,g
2459494.38923,2021-10-06.8848423,bm,1.66,16.834,15.436,0.060,2.430,0.134,g
2459494.39048,2021-10-06.8860842,bm,1.70,16.800,15.285,0.054,2.792,0.139,g
2459496.42392,2021-10-08.9196214,bm,1.56,16.910,15.310,0.050,2.729,0.125,g
2459496.42516,2021-10-08.9208644,bm,1.56,16.846,15.307,0.053,2.737,0.133,g
2459496.42640,2021-10-08.9221019,bm,1.53,16.725,15.165,0.052,3.119,0.148,g
2459499.41695,2021-10-11.9128138,bm,2.08,99.990,99.990,99.990,99.990,99.990,g
2459499.41819,2021-10-11.9140560,bm,2.11,14.281,>14.281,99.990,2.883,1.409,g
2459499.41944,2021-10-11.9153119,bm,2.04,14.881,>14.881,99.990,2.325,0.810,g
2459500.51549,2021-10-13.0114133,bE,1.53,16.705,15.370,0.064,2.581,0.151,g
2459500.51680,2021-10-13.0127211,bE,1.48,16.694,15.269,0.059,2.834,0.153,g
2459500.51810,2021-10-13.0140195,bE,1.56,16.610,15.339,0.068,2.657,0.165,g
2459502.75670,2021-10-15.2527493,bA,1.96,16.726,15.389,0.064,2.538,0.148,g
2459502.75795,2021-10-15.2539920,bA,1.66,16.783,15.354,0.059,2.622,0.141,g
2459502.75920,2021-10-15.25525,bA,2.01,16.676,15.338,0.064,2.660,0.155,g
2459504.71061,2021-10-17.2067809,bq,1.46,15.925,15.456,0.142,2.385,0.310,g
2459504.71184,2021-10-17.2080091,bq,1.49,16.007,15.439,0.130,2.422,0.287,g
2459504.71309,2021-10-17.2092571,bq,1.48,15.943,15.476,0.143,2.341,0.305,g
2459507.79614,2021-10-20.2924952,bA,1.99,16.288,15.323,0.090,2.696,0.222,g
2459507.79739,2021-10-20.2937475,bA,1.99,16.292,15.444,0.100,2.412,0.221,g
2459507.79865,2021-10-20.2950128,bA,2.00,16.253,15.380,0.098,2.559,0.229,g
2459508.56367,2021-10-21.0600640,bi,1.48,15.843,15.212,0.123,2.989,0.334,g
2459508.56490,2021-10-21.0612938,bi,1.42,15.772,15.569,0.182,2.150,0.357,g
2459508.56613,2021-10-21.0625285,bi,1.42,15.825,15.395,0.148,2.523,0.340,g
2459509.64203,2021-10-22.1384988,bE,1.49,16.047,15.655,0.153,1.986,0.277,g
2459509.64331,2021-10-22.1397785,bE,1.47,16.058,15.195,0.099,3.034,0.274,g
2459509.64461,2021-10-22.1410773,bE,1.53,16.044,15.253,0.106,2.878,0.278,g
2459510.74404,2021-10-23.2405836,bq,1.51,16.346,15.332,0.086,2.676,0.211,g
2459510.74529,2021-10-23.2418256,bq,1.39,16.305,15.534,0.108,2.220,0.218,g
2459510.74657,2021-10-23.2431215,bq,1.48,16.310,15.080,0.071,3.372,0.218,g
2459510.77475,2021-10-23.2712975,bq,1.41,16.223,15.943,0.169,1.524,0.236,g
2459510.77598,2021-10-23.2725312,bq,1.47,15.961,14.989,0.089,3.668,0.300,g
2459510.77731,2021-10-23.2738505,bq,1.45,16.100,15.591,0.137,2.107,0.264,g
2459511.76143,2021-10-24.2580320,bq,1.55,16.287,15.545,0.111,2.196,0.222,g
2459511.76266,2021-10-24.2592688,bq,1.52,16.238,15.242,0.087,2.904,0.232,g
2459511.76389,2021-10-24.2605006,bq,1.54,16.374,15.377,0.087,2.566,0.205,g
2459513.36785,2021-10-25.8645704,bm,1.55,16.704,15.150,0.052,3.163,0.152,g
2459513.36910,2021-10-25.8658150,bm,1.55,16.825,15.303,0.054,2.747,0.135,g
2459513.37035,2021-10-25.8670694,bm,1.52,16.839,15.451,0.061,2.397,0.134,g
2459514.85802,2021-10-27.3548494,bA,1.70,17.439,15.343,0.032,2.646,0.077,g
2459514.85928,2021-10-27.3561028,bA,1.71,17.529,15.286,0.028,2.792,0.071,g
2459514.86054,2021-10-27.3573635,bA,1.71,17.422,15.337,0.032,2.662,0.078,g
2459515.63137,2021-10-28.1282429,bi,1.39,16.736,15.323,0.059,2.696,0.147,g
2459515.63261,2021-10-28.1294932,bi,1.37,16.715,15.266,0.057,2.843,0.150,g
2459515.63387,2021-10-28.1307539,bi,1.40,16.712,15.175,0.053,3.091,0.150,g
2459516.75774,2021-10-29.2547062,bq,1.47,17.097,15.308,0.042,2.734,0.106,g
2459516.75899,2021-10-29.2559559,bq,1.45,17.073,15.213,0.039,2.985,0.108,g
2459516.76022,2021-10-29.2571841,bq,1.47,17.066,15.186,0.039,3.060,0.109,g
2459517.61750,2021-10-30.1145164,bi,1.39,16.833,15.240,0.050,2.911,0.134,g
2459517.61874,2021-10-30.1157578,bi,1.40,16.776,15.296,0.056,2.766,0.142,g
2459517.61998,2021-10-30.1169998,bi,1.43,16.797,15.206,0.050,3.001,0.139,g
2459520.75506,2021-11-02.2523146,bA,2.08,17.476,15.224,0.027,2.954,0.075,g
2459520.75632,2021-11-02.253575,bA,2.09,17.498,15.304,0.029,2.745,0.073,g
2459520.75759,2021-11-02.2548400,bA,2.09,17.490,15.279,0.028,2.808,0.074,g
2459520.78201,2021-11-02.2792645,bA,2.15,17.453,15.354,0.032,2.622,0.077,g
2459520.78327,2021-11-02.2805274,bA,2.10,17.526,15.343,0.029,2.646,0.072,g
2459520.78454,2021-11-02.2817950,bA,2.09,17.532,15.344,0.029,2.645,0.071,g
2459521.60928,2021-11-03.1065972,bE,1.47,16.825,15.299,0.054,2.757,0.135,g
2459521.61056,2021-11-03.1078826,bE,1.43,16.870,15.201,0.047,3.017,0.130,g
2459521.61186,2021-11-03.1091831,bE,1.42,16.885,15.242,0.048,2.906,0.128,g
2459523.80794,2021-11-05.3054331,bA,2.17,17.412,15.337,0.032,2.663,0.079,g
2459523.80920,2021-11-05.3066938,bA,2.15,17.424,15.306,0.031,2.740,0.078,g
2459523.81047,2021-11-05.3079640,bA,2.07,17.401,15.257,0.030,2.868,0.080,g
2459523.83117,2021-11-05.3286700,bA,2.21,17.376,15.301,0.032,2.752,0.082,g
2459523.83244,2021-11-05.3299292,bA,2.12,17.402,15.253,0.030,2.877,0.080,g
2459523.83369,2021-11-05.3311818,bA,2.13,17.382,15.275,0.031,2.819,0.081,g
2459525.81145,2021-11-07.3090995,bA,2.01,17.442,15.342,0.032,2.651,0.077,g
2459525.81271,2021-11-07.3103613,bA,2.00,17.448,15.359,0.032,2.611,0.077,g
2459525.81397,2021-11-07.3116232,bA,1.99,17.459,15.341,0.031,2.652,0.076,g
2459527.68043,2021-11-09.1782248,bq,1.52,15.347,>15.347,99.990,2.574,0.528,g
2459527.68167,2021-11-09.1794645,bq,1.48,14.858,>14.858,99.990,3.470,0.828,g
2459527.68290,2021-11-09.1806978,bq,1.52,15.202,>15.202,99.990,2.459,0.603,g
2459528.72953,2021-11-10.2274111,bA,1.77,99.990,99.990,99.990,99.990,99.990,g
2459528.73077,2021-11-10.2286554,bA,1.70,14.954,>14.954,99.990,2.669,0.758,g
2459528.73203,2021-11-10.2299160,bA,1.80,15.311,>15.311,99.990,2.370,0.546,g
2459528.74498,2021-11-10.2428640,bA,1.65,17.361,15.303,0.033,2.746,0.083,g
2459528.74624,2021-11-10.2441256,bA,1.68,17.302,15.289,0.034,2.784,0.088,g
2459528.74749,2021-11-10.2453778,bA,1.67,17.335,15.281,0.033,2.802,0.085,g
2459528.78081,2021-11-10.2786990,bA,2.09,99.990,99.990,99.990,99.990,99.990,g
2459528.78207,2021-11-10.2799572,bA,2.28,99.990,99.990,99.990,99.990,99.990,g
2459529.58316,2021-11-11.0811112,bi,1.73,16.323,15.396,0.093,2.522,0.215,g
2459529.58438,2021-11-11.0823472,bi,1.70,16.318,15.322,0.087,2.700,0.216,g
2459529.58562,2021-11-11.0835762,bi,1.75,16.414,15.425,0.088,2.454,0.197,g
2459530.57941,2021-11-12.0774432,bi,1.77,16.227,15.309,0.094,2.732,0.235,g
2459530.58065,2021-11-12.0786850,bi,1.74,16.230,15.305,0.093,2.743,0.234,g
2459530.58188,2021-11-12.0799105,bi,1.63,16.248,15.149,0.080,3.164,0.230,g
2459531.58346,2021-11-13.0815789,bE,1.49,16.238,15.240,0.087,2.910,0.232,g
2459531.58475,2021-11-13.0828728,bE,1.46,16.267,15.150,0.078,3.163,0.226,g
2459531.58604,2021-11-13.0841581,bE,1.46,16.197,15.462,0.111,2.372,0.241,g
2459534.30346,2021-11-15.8018151,bm,2.50,99.990,99.990,99.990,99.990,99.990,g
2459535.55953,2021-11-17.0579782,bi,1.45,15.883,15.331,0.132,2.678,0.322,g
2459535.56076,2021-11-17.0592199,bi,1.45,15.792,15.265,0.135,2.844,0.350,g
2459535.56200,2021-11-17.0604583,bi,1.43,15.734,15.092,0.121,3.336,0.369,g
2459536.56772,2021-11-18.0662623,bi,1.52,15.717,15.028,0.116,3.540,0.375,g
2459536.56896,2021-11-18.0675039,bi,1.52,15.708,15.235,0.142,2.926,0.378,g
2459536.57020,2021-11-18.0687460,bi,1.56,15.781,15.274,0.137,2.820,0.354,g
2459536.60240,2021-11-18.1009502,bi,1.66,15.399,15.268,0.194,2.835,0.503,g
2459536.60363,2021-11-18.1021803,bi,1.68,15.439,>15.439,99.990,2.314,0.485,g
2459536.60487,2021-11-18.1034231,bi,1.63,15.433,>15.433,99.990,2.304,0.487,g
2459537.56897,2021-11-19.0675965,bE,1.53,15.742,15.334,0.151,2.669,0.367,g
2459537.57026,2021-11-19.0688858,bE,1.55,15.833,15.464,0.156,2.369,0.337,g
2459537.57156,2021-11-19.0701844,bE,1.55,15.720,15.127,0.127,3.232,0.374,g
2459538.65234,2021-11-20.1510601,bq,1.55,16.271,15.389,0.097,2.538,0.225,g
2459538.65358,2021-11-20.1523104,bq,1.60,16.239,15.348,0.096,2.635,0.232,g
2459538.65483,2021-11-20.1535521,bq,1.55,16.152,14.807,0.064,4.336,0.252,g
2459539.30568,2021-11-20.8044557,bm,1.85,15.693,15.226,0.143,2.949,0.384,g
2459539.30692,2021-11-20.8056978,bm,2.08,14.841,14.708,0.194,4.752,0.843,g
2459539.30816,2021-11-20.8069454,bm,2.11,14.507,>14.507,99.990,4.453,1.152,g
2459541.76543,2021-11-23.2644200,bA,1.64,17.443,15.339,0.031,2.658,0.077,g
2459541.78326,2021-11-23.2822656,bA,1.71,17.094,15.344,0.044,2.647,0.106,g
2459541.78451,2021-11-23.2835166,bA,1.70,17.102,15.332,0.043,2.673,0.105,g
2459541.78577,2021-11-23.2847700,bA,1.64,17.133,15.272,0.039,2.826,0.102,g
2459542.67984,2021-11-24.1789150,bq,1.47,16.594,15.442,0.076,2.418,0.167,g
2459542.68108,2021-11-24.1801571,bq,1.55,16.530,15.502,0.085,2.288,0.178,g
2459542.68231,2021-11-24.1813862,bq,1.52,16.550,15.344,0.072,2.645,0.174,g
2459543.79263,2021-11-25.2918125,bA,1.68,17.374,15.308,0.033,2.732,0.082,g
2459543.79389,2021-11-25.2930693,bA,1.68,17.437,15.353,0.032,2.622,0.077,g
2459543.79515,2021-11-25.2943255,bA,1.68,17.484,15.390,0.032,2.535,0.074,g
