JD - 2459089.9,JD,mag,emag,filter
-14.048692099750042,2459075.8513079,21.03509333648553,99.99,ZTF_r
-14.01342590013519,2459075.8865741,21.075864300634116,99.99,ZTF_r
-13.062465299852192,2459076.8375347,16.784695535673357,0.07483913809126702,ZTF_r
-12.038113399874419,2459077.8618866,21.11546328909455,99.99,ZTF_r
-11.092916700057685,2459078.8070833,20.30628846015663,0.13242180564417372,ZTF_r
