HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459509.08544,2021-10-21.5872876,bB,2.10,16.060,>16.060,99.990,0.173,0.274,g
2459513.07796,2021-10-25.5794537,bB,2.18,16.621,>16.621,99.990,-0.348,0.163,g
2459513.07922,2021-10-25.5807208,bB,2.16,16.496,>16.496,99.990,-0.066,0.183,g
2459513.08050,2021-10-25.5819930,bB,2.13,16.607,>16.607,99.990,-0.186,0.165,g
2459516.06882,2021-10-28.5700442,bB,2.05,16.619,>16.619,99.990,-0.081,0.164,g
2459516.07009,2021-10-28.5713201,bB,2.18,16.006,>16.006,99.990,0.106,0.288,g
2459516.07137,2021-10-28.5725868,bB,2.09,16.755,>16.755,99.990,0.117,0.144,g
2459521.05635,2021-11-02.5571207,bB,1.71,17.573,>17.573,99.990,0.045,0.068,g
2459521.05763,2021-11-02.5583953,bB,1.71,17.630,>17.630,99.990,0.107,0.064,g
2459521.05890,2021-11-02.5596618,bB,1.74,17.481,>17.481,99.990,0.178,0.074,g
2459521.10702,2021-11-02.6077781,bB,1.76,17.645,>17.645,99.990,0.078,0.064,g
2459521.10829,2021-11-02.6090525,bB,1.72,17.641,>17.641,99.990,0.033,0.064,g
2459521.10955,2021-11-02.6103118,bB,1.78,17.707,>17.707,99.990,0.216,0.060,g
2459524.04830,2021-11-05.5487881,bB,2.05,17.609,>17.609,99.990,0.104,0.066,g
2459524.04957,2021-11-05.5500556,bB,2.03,17.658,>17.658,99.990,0.181,0.063,g
2459524.05082,2021-11-05.5513114,bB,2.03,17.456,>17.456,99.990,0.113,0.076,g
2459528.03165,2021-11-09.5317695,bB,1.77,17.275,>17.275,99.990,0.074,0.089,g
2459528.03291,2021-11-09.5330289,bB,1.74,17.245,>17.245,99.990,0.208,0.092,g
2459528.03419,2021-11-09.5343023,bB,1.75,17.372,>17.372,99.990,0.013,0.082,g
2459530.03163,2021-11-11.5315613,bB,1.76,17.630,>17.630,99.990,0.192,0.064,g
2459530.03290,2021-11-11.5328244,bB,1.74,17.613,>17.613,99.990,0.160,0.065,g
2459530.03414,2021-11-11.5340730,bB,1.73,17.661,>17.661,99.990,0.067,0.063,g
2459533.96322,2021-11-15.4627857,br,1.52,17.576,>17.576,99.990,0.157,0.068,g
2459533.96446,2021-11-15.4640287,br,1.49,17.325,>17.325,99.990,0.152,0.085,g
2459533.96569,2021-11-15.4652559,br,1.49,17.421,>17.421,99.990,0.199,0.078,g
2459539.00166,2021-11-20.5007601,bB,2.01,16.114,>16.114,99.990,0.048,0.260,g
2459539.00292,2021-11-20.5020229,bB,2.01,16.215,>16.215,99.990,-0.043,0.237,g
2459539.00419,2021-11-20.5032973,bB,2.03,16.122,>16.122,99.990,0.024,0.258,g
2459542.00420,2021-11-23.5030291,br,1.50,16.197,>16.197,99.990,-0.141,0.241,g
2459542.00544,2021-11-23.5042594,br,1.49,16.350,>16.350,99.990,0.113,0.209,g
2459542.00668,2021-11-23.5054989,br,1.50,16.087,>16.087,99.990,0.313,0.267,g
2459547.85407,2021-11-29.3523810,br,1.40,17.452,>17.452,99.990,-0.002,0.076,g
