HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459034.37152,2020-07-03.8680997,bn,1.55,16.919,>16.919,99.990,0.362,0.124,g
2459040.97475,2020-07-10.4715420,bB,2.14,18.039,>18.039,99.990,0.107,0.044,g
2459049.88241,2020-07-19.3795538,bB,2.13,19.143,>19.143,99.990,0.013,0.016,g
2459053.85559,2020-07-23.3529186,bB,1.99,19.007,>19.007,99.990,-0.026,0.018,g
2459056.80322,2020-07-26.3006859,br,1.45,18.512,>18.512,99.990,0.089,0.029,g
2459058.73855,2020-07-28.2361099,br,1.45,18.202,>18.202,99.990,0.037,0.038,g
2459068.24416,2020-08-06.7422290,bn,1.61,18.437,>18.437,99.990,0.072,0.031,g
2459070.89167,2020-08-09.3898920,bB,1.99,18.188,>18.188,99.990,0.085,0.039,g
2459072.83175,2020-08-11.3300814,bB,1.99,19.257,>19.257,99.990,-0.016,0.014,g
2459074.79286,2020-08-13.2913047,bB,2.04,19.117,>19.117,99.990,-0.046,0.016,g
2459077.80212,2020-08-16.3007437,bB,2.00,19.194,>19.194,99.990,-0.013,0.015,g
2459080.82312,2020-08-19.3219423,bB,2.00,19.040,>19.040,99.990,-0.014,0.018,g
2459081.75058,2020-08-20.2494510,br,1.44,18.255,>18.255,99.990,-0.013,0.036,g
2459085.67218,2020-08-24.1712913,br,1.35,17.975,>17.975,99.990,-0.016,0.047,g
2459086.73857,2020-08-25.2377608,br,1.39,18.475,>18.475,99.990,0.010,0.030,g
2459087.68175,2020-08-26.1809929,br,1.45,17.672,>17.672,99.990,-0.094,0.062,g
2459088.77265,2020-08-27.2719575,br,1.40,17.422,>17.422,99.990,-0.182,0.078,g
2459092.78049,2020-08-31.2800564,bB,2.30,17.209,>17.209,99.990,-0.138,0.095,g
2459096.71464,2020-09-04.2144631,br,1.44,17.142,>17.142,99.990,0.020,0.101,g
2459097.71295,2020-09-05.2128406,br,1.49,17.522,>17.522,99.990,-0.188,0.071,g
2459099.79873,2020-09-07.2987541,bB,2.09,19.202,>19.202,99.990,-0.038,0.015,g
2459101.80269,2020-09-09.3028442,bB,2.11,19.026,>19.026,99.990,-0.074,0.018,g
2459104.78326,2020-09-12.2835995,bB,1.73,19.062,>19.062,99.990,-0.042,0.017,g
2459107.76616,2020-09-15.2666962,bB,2.01,18.997,>18.997,99.990,0.015,0.018,g
2459121.73311,2020-09-29.2345239,bB,2.01,17.731,>17.731,99.990,-0.047,0.059,g
2459126.71841,2020-10-04.2201223,bB,2.32,19.006,>19.006,99.990,-0.022,0.018,g
2459127.62848,2020-10-05.1302349,br,1.48,17.545,>17.545,99.990,-0.076,0.070,g
2459128.62746,2020-10-06.1292849,br,1.40,18.049,>18.049,99.990,-0.143,0.044,g
