 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 596 6 1 ZTF_r 1276464972115 0 2.5335 167.069 5.02911 26.257 8.6862e-06 0.0422849 0.0864279 1.57494e-05 1352 30. 0.193553 0.054425 20.4967 26.257 1 2459030.9649769 596120221 -290.754502738431 39.4393024568446 -8.20072077664244 1.47518953472845 -444.228080909754 65.0679691791742 -6.87312034223501 1.06539728333045 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 10 596 6 1 ZTF_r 1279373172115 0 1.5186 172.685 10.94 26.3273 2.2087e-06 0.0215066 0.0996897 3.96601e-06 1366 30. 0.055891 0.056934 20.1355 26.3273 1 2459033.8731713 596120221 -163.690831854731 37.3756619564045 -4.87180911558078 2.20009460955046 -313.812038856562 76.0647058086933 -4.15337938449373 1.03048277445016 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 11 596 6 1 ZTF_g 1279445742115 0 2.3484 111.488 9.12683 26.3352 5.4062e-06 0.0324493 -0.0676352 1.05629e-05 1300 30. 0.061338 0.045997 19.9812 26.3352 1 2459033.9457407 596120121 -136.442125735068 44.6276733027864 -3.4009404919708 1.06124674944758 -139.606112365675 75.9741192325865 -1.84992427663972 1.06250462580595 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 12 596 6 1 ZTF_r 1282377832115 0 1.6277 171.977 13.4007 26.3196 2.4238e-06 0.0222473 0.106019 4.38831e-06 1346 30. 0.052843 0.048325 19.8807 26.3196 1 2459036.8778356 596120221 193.500044793296 49.95886581254 4.3084722561583 1.11151101505698 248.50410283113 99.6628156036204 2.51024206717545 1.04096548381205 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 13 596 6 1 ZTF_g 1282461492115 0 1.8827 112.689 14.1513 26.3325 7.0453e-06 0.0353252 -0.0396416 1.4972e-05 1214 30. 0.048077 0.043852 19.7081 26.3325 1 2459036.9614931 596120121 -97.6181400968654 54.4799530056837 -1.99318956882956 1.05665157945838 -250.607687379431 101.334133750089 -2.48973899747182 1.05344442029056 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 14 596 6 1 ZTF_g 1285348772115 0 2.14 109.312 11.5107 26.2842 5.6344e-06 0.0325486 -0.0228764 1.13789e-05 1252 30. 0.050091 0.044799 19.7883 26.2842 1 2459039.8487731 596120121 -72.654850795992 52.749323187542 -1.53215437152906 1.092990390306 -138.87427436602 92.2582110035693 -1.51541634151767 1.06429722565694 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 15 596 6 1 ZTF_r 1285457842115 0 2.1823 175.018 10.2891 26.3385 2.3956e-06 0.0221892 0.104539 4.35292e-06 1353 30. 0.052204 0.04373 19.9263 26.3385 1 2459039.9578472 596120221 -155.786551058868 48.6463272976427 -3.5623345767405 1.09610801219016 -121.2283585061 85.5266113151748 -1.42698087295605 1.05699114413466 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 16 596 6 1 ZTF_g 1288336112115 0 1.7419 99.0044 7.44419 26.2018 5.6008e-06 0.0337434 -0.0904673 1.02743e-05 1334 30. 0.069252 0.046687 20.3259 26.2018 1 2459042.8361111 596120121 -205.957233103601 28.0728443655377 -8.16103859786119 1.44704115558223 -77.7738978548835 56.0557868132403 -1.39678191999182 1.03451726723322 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 17 596 6 1 ZTF_r 1288388682115 0 1.5219 163.109 8.45508 26.2537 2.9174e-06 0.0244359 0.100993 5.28569e-06 1347 30. 0.066376 0.051206 20.3334 26.2537 1 2459042.8886806 596120221 -42.759003521097 32.0410743801553 -1.48448326687486 1.57748801448354 -347.723990904859 64.4848966691756 -5.42864996412728 1.0308004023218 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 18 596 6 1 ZTF_r 1288481892115 0 1.4364 165.517 8.90843 26.2704 2.5192e-06 0.0227242 0.099817 4.54197e-06 1350 30. 0.058216 0.063995 20.3079 26.2704 1 2459042.9818981 596120221 -83.6249605967018 31.92535926317 -2.91376776275359 1.94362574989221 -123.307658399832 66.0283314208597 -1.8800739001324 1.02681967283805 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
