 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 596 6 1 ZTF_g 1321386572115 0 2.0724 101.138 4.65989 26.2201 1.38196e-05 0.0532841 -0.144417 2.53384e-05 1348 30. 0.152596 0.04523 20.7001 26.2201 1 2459075.8865741 596120121 -146.988116081333 22.8414818447134 -7.15834703979633 1.6439710704359 -159.34593140591 42.5824201271603 -3.76726205187109 1.04546043693899 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 10 596 6 1 ZTF_r 1322337532115 0 1.4384 10.5104 7.47836 23.3727 0.000297058 0.154043 0.122708 0.000623474 576 30. 0.081042 0.065361 17.5911 23.3727 1 2459076.8375347 596120221 431.719619610619 29.7591638838983 16.1374853776522 1.26070286378447 930.905615950055 60.4289654245133 15.5087103055529 1.04295329039858 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 11 596 6 1 ZTF_g 1323361882115 0 1.7167 103.162 4.22711 26.245 1.978e-05 0.0638233 -0.162046 3.60094e-05 1349 30. 0.158121 0.046668 20.9182 26.245 1 2459077.8618866 596120121 -178.615038810768 22.5343315592101 -8.81714825711407 1.72150941307135 -356.159807424754 44.433014606656 -8.06964297591615 1.03942148939608 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 12 596 6 1 ZTF_r 1324307082115 0 1.8602 160.996 5.34071 26.2441 7.2073e-06 0.0388501 0.0887621 1.2912e-05 1366 30. 0.128115 0.054931 20.662 26.2441 1 2459078.8070833 596120221 237.20542424179 28.9317220103989 9.12021619663704 1.92805819572434 147.680330988884 53.4886125850501 2.77956296358345 1.03852542670194 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 13 596 6 1 ZTF_r 1324336552115 0 1.5794 161.531 5.31793 26.2433 5.5347e-06 0.0340414 0.0927159 9.95126e-06 1365 30. 0.120367 0.050814 20.7315 26.2433 1 2459078.8365509 596120221 -137.280070226011 25.6804614446533 -5.94647326398651 2.13218558866636 -235.310072451387 50.881688088039 -4.65579874075717 1.03459351521834 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 14 596 6 1 ZTF_g 1324361262115 0 1.8162 101.179 4.0932 26.2169 2.33792e-05 0.0687087 -0.176519 4.32754e-05 1331 30. 0.176229 0.04507 20.9032 26.2169 1 2459078.8612616 596120121 -237.517208759526 21.3275418843161 -12.3882248255272 1.87380585493536 -238.292464938346 41.3361402767194 -5.80357471195616 1.04454519471149 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 15 596 6 1 ZTF_g 1324391602115 0 2.1839 39.9501 4.83447 25.142 4.93984e-05 0.0913658 -0.0769984 0.000108044 1156 30. 0.142116 0.054935 19.556 25.142 1 2459078.8916088 596120121 29.2568133005925 22.8956040626143 1.42144387101268 1.27064021785268 211.336789939711 41.6495592124767 5.10834110617581 1.04806928769528 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 16 596 6 1 ZTF_g 1325327262115 0 1.727 98.2534 4.23137 26.1937 2.16946e-05 0.0667254 -0.170037 3.95862e-05 1347 30. 0.163194 0.046741 20.8711 26.1937 1 2459079.8272685 596120121 -104.539767564483 21.9121768265435 -5.30702101430435 1.77267293427434 -66.846023523133 42.848822278405 -1.57055040860381 1.04258503123772 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 17 596 6 1 ZTF_r 1325392032115 0 1.4908 156.444 5.47609 26.2237 5.0401e-06 0.0323395 0.0875838 9.07381e-06 1370 30. 0.10496 0.057048 20.7142 26.2237 1 2459079.892037 596120221 -41.8563828550916 27.5478599553702 -1.69016315250549 1.80349600695538 -78.7814654570848 56.9156789860036 -1.39350113312584 1.02805755184522 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 18 596 6 1 ZTF_r 1326328862115 0 1.9607 152.485 5.78955 26.1797 4.9541e-06 0.0320627 0.0956026 8.87009e-06 1361 30. 0.11524 0.051064 20.4968 26.1797 1 2459080.8288657 596120221 -121.774911948082 29.9851755163924 -4.51758185124567 1.7581816925793 -44.9246414067945 56.6420772805023 -0.798473742893126 1.04100701404539 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
