HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459516.06867,2021-10-28.5700442,bB,2.05,17.552,>17.552,99.990,-0.059,0.069,g
2459521.05621,2021-11-02.5571207,bB,1.71,19.112,>19.112,99.990,-0.023,0.016,g
2459524.04815,2021-11-05.5487881,bB,2.05,18.390,>18.390,99.990,-0.014,0.032,g
2459528.03151,2021-11-09.5317695,bB,1.77,18.381,>18.381,99.990,-0.024,0.032,g
2459530.03149,2021-11-11.5315613,bB,1.76,18.941,>18.941,99.990,-0.007,0.019,g
2459533.96309,2021-11-15.4627857,br,1.52,18.394,>18.394,99.990,0.066,0.032,g
2459539.00153,2021-11-20.5007601,bB,2.01,17.281,>17.281,99.990,-0.102,0.089,g
2459542.00407,2021-11-23.5030291,br,1.50,17.270,>17.270,99.990,-0.031,0.090,g
2459547.85396,2021-11-29.3523810,br,1.40,18.467,>18.467,99.990,-0.079,0.030,g
2459548.85286,2021-11-30.3511891,br,1.43,18.432,>18.432,99.990,0.009,0.031,g
2459550.90389,2021-12-02.4020373,br,1.41,18.632,>18.632,99.990,0.086,0.026,g
2459554.88540,2021-12-06.3831979,br,1.50,18.310,>18.310,99.990,0.047,0.034,g
2459563.01825,2021-12-14.5153866,br,1.43,18.347,>18.347,99.990,0.087,0.033,g
2459568.77561,2021-12-20.2722976,br,1.53,16.055,>16.055,99.990,0.946,0.275,g
2459585.87667,2022-01-06.3722650,bB,1.73,18.452,>18.452,99.990,-0.037,0.030,g
2459586.95835,2022-01-07.4538934,br,1.45,18.476,>18.476,99.990,0.084,0.030,g
2459588.95137,2022-01-09.4468085,bB,1.72,19.090,>19.090,99.990,-0.030,0.017,g
2459591.91712,2022-01-12.4124218,br,1.46,18.285,>18.285,99.990,0.137,0.035,g
2459593.73515,2022-01-14.2303745,br,1.53,17.343,>17.343,99.990,0.192,0.084,g
2459595.89058,2022-01-16.3857099,bB,2.00,17.300,>17.300,99.990,-0.251,0.087,g
2459597.79873,2022-01-18.2937947,br,1.86,16.591,>16.591,99.990,0.021,0.168,g
2459601.98082,2022-01-22.4757449,bB,2.17,18.219,>18.219,99.990,0.008,0.037,g
2459603.94322,2022-01-24.4380930,bB,2.00,18.153,>18.153,99.990,0.012,0.040,g
2459604.86164,2022-01-25.3564870,br,1.38,18.194,>18.194,99.990,-0.104,0.038,g
2459606.89221,2022-01-27.3870106,bB,1.75,18.947,>18.947,99.990,-0.033,0.019,g
2459607.75535,2022-01-28.2501332,br,1.62,18.442,>18.442,99.990,-0.033,0.030,g
2459608.81930,2022-01-29.3140646,br,1.45,18.604,>18.604,99.990,0.051,0.026,g
2459609.98174,2022-01-30.4764818,br,1.43,18.499,>18.499,99.990,-0.060,0.029,g
2459615.01836,2022-02-04.5130493,bB,1.99,18.662,>18.662,99.990,0.040,0.025,g
2459617.85151,2022-02-07.3461708,bB,2.09,19.079,>19.079,99.990,0.022,0.017,g
2459619.85817,2022-02-09.3528373,bB,2.07,18.548,>18.548,99.990,-0.018,0.028,g
2459620.84243,2022-02-10.3370846,br,1.44,18.130,>18.130,99.990,0.050,0.041,g
2459621.98622,2022-02-11.4808918,bB,2.03,18.172,>18.172,99.990,-0.120,0.039,g
2459622.99907,2022-02-12.4937348,br,1.74,18.550,>18.550,99.990,-0.031,0.028,g
2459624.94298,2022-02-14.4376688,bB,2.02,17.196,>17.196,99.990,-0.078,0.096,g
2459629.92754,2022-02-19.4222894,bB,1.99,17.837,>17.837,99.990,0.154,0.053,g
2459631.87138,2022-02-21.3661575,bB,2.00,18.082,>18.082,99.990,-0.029,0.042,g
2459633.03336,2022-02-22.5281690,bB,2.36,17.999,>17.999,99.990,0.060,0.046,g
2459635.74213,2022-02-25.2369953,bB,2.16,18.580,>18.580,99.990,0.055,0.027,g
2459637.03517,2022-02-26.5300644,bB,2.09,18.864,>18.864,99.990,-0.045,0.021,g
