HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458328.91257,2018-07-29.4162032,bg,1.41,16.697,>16.697,99.990,-1.058,0.161,V
2458332.65593,2018-08-02.1592894,bo,1.47,17.004,>17.004,99.990,-0.050,0.115,g
2458333.65274,2018-08-03.1560212,bo,1.56,17.807,>17.807,99.990,-0.060,0.055,g
2458334.65338,2018-08-04.1565849,bo,1.47,17.672,17.060,0.124,0.545,0.062,g
2458343.10225,2018-08-12.6047609,bc,1.57,17.459,15.903,0.052,1.670,0.080,V
2458345.88055,2018-08-15.3828372,bg,1.41,17.368,17.177,0.183,0.516,0.087,V
2458347.89994,2018-08-17.4020497,bg,1.46,17.447,>17.447,99.990,-0.349,0.081,V
2458350.88562,2018-08-20.3874646,bk,1.47,18.107,16.835,0.068,0.670,0.042,g
2458353.60220,2018-08-23.1038017,bo,1.57,17.320,15.631,0.046,2.031,0.086,g
2458358.87474,2018-08-28.3758614,bg,1.51,16.787,>16.787,99.990,-0.846,0.148,V
2458359.58565,2018-08-29.0867042,bo,1.53,17.351,>17.351,99.990,-0.159,0.083,g
2458361.63771,2018-08-31.1385726,bo,2.01,17.564,>17.564,99.990,-0.030,0.068,g
2458362.63440,2018-09-01.1351593,bo,1.49,17.971,>17.971,99.990,0.162,0.047,g
2458368.06564,2018-09-06.5658952,bc,1.44,17.771,16.653,0.078,0.837,0.060,V
2458368.84513,2018-09-07.3453148,bg,1.53,17.342,>17.342,99.990,-0.555,0.089,V
2458369.85605,2018-09-08.3561287,bk,1.44,18.103,>18.103,99.990,-0.296,0.042,g
2458370.82678,2018-09-09.3267729,bk,1.46,18.176,>18.176,99.990,-0.549,0.039,g
2458372.93425,2018-09-11.4340425,bs,2.06,18.134,>18.134,99.990,-0.112,0.040,g
2458373.58904,2018-09-12.0887719,bo,1.48,18.715,>18.715,99.990,0.042,0.024,g
2458375.79902,2018-09-14.2985511,bg,1.45,17.350,>17.350,99.990,-0.556,0.088,V
2458376.80732,2018-09-15.3067471,bg,1.47,17.428,>17.428,99.990,-0.605,0.082,V
2458378.05535,2018-09-16.5546684,bc,1.45,17.804,17.126,0.117,0.541,0.058,V
2458380.78972,2018-09-19.2887835,bk,1.59,18.166,>18.166,99.990,-0.199,0.039,g
2458382.81398,2018-09-21.3128570,bg,1.45,17.162,>17.162,99.990,-0.250,0.105,V
2458383.78679,2018-09-22.2855723,bk,1.51,17.608,>17.608,99.990,0.266,0.066,g
2458384.77705,2018-09-23.2757423,bg,1.46,17.085,>17.085,99.990,0.277,0.112,V
2458386.82251,2018-09-25.3210187,bk,1.56,17.166,>17.166,99.990,0.249,0.099,g
2458395.91727,2018-10-04.4149763,bs,1.47,18.112,16.892,0.071,0.636,0.041,g
2458397.80743,2018-10-06.3049715,bk,1.63,18.505,>18.505,99.990,0.094,0.029,g
2458401.73546,2018-10-10.2326741,bG,1.44,16.961,>16.961,99.990,0.132,0.119,g
2458406.82219,2018-10-15.3190115,bk,1.50,17.977,16.611,0.062,0.823,0.047,g
2458408.73760,2018-10-17.2342616,bk,2.02,18.112,17.183,0.093,0.486,0.041,g
2458410.75389,2018-10-19.2504011,bG,1.47,17.552,16.126,0.059,1.288,0.069,g
2458413.59750,2018-10-22.0938160,bo,1.50,17.279,>17.279,99.990,0.235,0.089,g
2458413.93453,2018-10-22.4308207,bc,1.69,17.392,16.642,0.110,0.845,0.085,V
2458414.73313,2018-10-23.2293578,bG,1.51,17.153,>17.153,99.990,0.498,0.100,g
2458421.92262,2018-10-30.4183978,bs,1.62,17.731,>17.731,99.990,-0.201,0.059,g
2458424.55148,2018-11-02.0471011,bo,1.65,18.521,>18.521,99.990,0.088,0.028,g
2458427.91508,2018-11-05.4105214,bc,1.71,17.787,16.885,0.095,0.676,0.059,V
2458428.84825,2018-11-06.3436412,bs,1.78,18.335,17.308,0.085,0.433,0.034,g
2458429.64447,2018-11-07.1398149,bk,1.46,18.084,>18.084,99.990,-0.403,0.042,g
2458429.90817,2018-11-07.4035048,bs,1.50,18.722,>18.722,99.990,-0.030,0.024,g
2458430.52822,2018-11-08.0235203,bo,1.45,18.383,>18.383,99.990,-0.234,0.032,g
